userID, Saldo
user001, 9998747
user002, 8273422
user003, 1848444
user004, 8994309
user005, 3596307
user006, 4400726
user007, 807497
user008, 9064764
user009, 8460828
user010, 9182380
user011, 1138921
user012, 6663727
user013, 8312959
user014, 3458193
user015, 3479549
user016, 9097210
user017, 8445428
user018, 8183025
user019, 1419830
user020, 1836070
user021, 4735576
user022, 1999178
user023, 907982
user024, 9149469
user025, 2546275
user026, 6722642
user027, 3412015
user028, 5281712
user029, 8572625
user030, 423779
